  -90 37 5     0 37 10
  -90     0   -74.42   125.49
  -90    10   -74.42   125.49
  -90    20   -74.42   125.49
  -90    30   -74.42   125.49
  -90    40   -74.42   125.49
  -90    50   -74.42   125.48
  -90    60   -74.42   125.48
  -90    70   -74.42   125.48
  -90    80   -74.42   125.48
  -90    90   -74.42   125.48
  -90   100   -74.41   125.48
  -90   110   -74.41   125.48
  -90   120   -74.41   125.48
  -90   130   -74.41   125.48
  -90   140   -74.41   125.48
  -90   150   -74.41   125.48
  -90   160   -74.41   125.48
  -90   170   -74.41   125.48
  -90   180   -74.41   125.49
  -90   190   -74.41   125.49
  -90   200   -74.41   125.49
  -90   210   -74.41   125.49
  -90   220   -74.41   125.49
  -90   230   -74.41   125.50
  -90   240   -74.41   125.50
  -90   250   -74.41   125.50
  -90   260   -74.41   125.50
  -90   270   -74.41   125.50
  -90   280   -74.41   125.50
  -90   290   -74.42   125.50
  -90   300   -74.42   125.50
  -90   310   -74.42   125.50
  -90   320   -74.42   125.50
  -90   330   -74.42   125.50
  -90   340   -74.42   125.50
  -90   350   -74.42   125.50
  -90   360   -74.42   125.49
  -85     0   -79.04   133.98
  -85    10   -79.28   129.59
  -85    20   -79.31   124.90
  -85    30   -79.12   120.29
  -85    40   -78.72   116.13
  -85    50   -78.15   112.67
  -85    60   -77.43   110.05
  -85    70   -76.63   108.26
  -85    80   -75.77   107.25
  -85    90   -74.88   106.92
  -85   100   -74.01   107.16
  -85   110   -73.18   107.90
  -85   120   -72.40   109.03
  -85   130   -71.70   110.49
  -85   140   -71.08   112.22
  -85   150   -70.56   114.16
  -85   160   -70.14   116.28
  -85   170   -69.83   118.53
  -85   180   -69.64   120.88
  -85   190   -69.55   123.30
  -85   200   -69.58   125.76
  -85   210   -69.72   128.22
  -85   220   -69.96   130.66
  -85   230   -70.31   133.04
  -85   240   -70.75   135.33
  -85   250   -71.28   137.49
  -85   260   -71.89   139.47
  -85   270   -72.57   141.22
  -85   280   -73.31   142.69
  -85   290   -74.10   143.79
  -85   300   -74.91   144.45
  -85   310   -75.74   144.57
  -85   320   -76.56   144.05
  -85   330   -77.33   142.79
  -85   340   -78.03   140.70
  -85   350   -78.61   137.74
  -85   360   -79.04   133.98
  -80     0   -83.14   153.30
  -80    10   -84.06   140.06
  -80    20   -84.27   122.83
  -80    30   -83.66   106.80
  -80    40   -82.44    95.81
  -80    50   -80.86    89.67
  -80    60   -79.10    86.88
  -80    70   -77.29    86.22
  -80    80   -75.49    86.92
  -80    90   -73.76    88.52
  -80   100   -72.12    90.75
  -80   110   -70.61    93.41
  -80   120   -69.26    96.39
  -80   130   -68.06    99.62
  -80   140   -67.04   103.05
  -80   150   -66.21   106.62
  -80   160   -65.56   110.33
  -80   170   -65.10   114.13
  -80   180   -64.82   118.01
  -80   190   -64.73   121.96
  -80   200   -64.81   125.94
  -80   210   -65.05   129.95
  -80   220   -65.47   133.96
  -80   230   -66.04   137.95
  -80   240   -66.76   141.90
  -80   250   -67.62   145.78
  -80   260   -68.62   149.55
  -80   270   -69.75   153.16
  -80   280   -71.00   156.58
  -80   290   -72.35   159.71
  -80   300   -73.80   162.46
  -80   310   -75.34   164.68
  -80   320   -76.94   166.14
  -80   330   -78.58   166.49
  -80   340   -80.22   165.17
  -80   350   -81.79   161.24
  -80   360   -83.14   153.30
  -75     0   -85.09   200.15
  -75    10   -87.70   195.51
  -75    20   -89.13    89.54
